,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
45790,2022-12-20,Cambodia,Philippines,3.0,2.0,AFF Championship,Phnom Penh,Cambodia,False
45791,2022-12-20,Brunei,Thailand,0.0,5.0,AFF Championship,Kuala Lumpur,Malaysia,True
45792,2022-12-21,Myanmar,Malaysia,0.0,1.0,AFF Championship,Yangon,Myanmar,False
45793,2022-12-21,Laos,Vietnam,0.0,6.0,AFF Championship,Vientiane,Laos,False
45794,2022-12-23,Oman,Syria,2.0,1.0,Friendly,Dubai,United Arab Emirates,True
45795,2022-12-23,Philippines,Brunei,5.0,1.0,AFF Championship,Manila,Philippines,False
45796,2022-12-23,Indonesia,Cambodia,2.0,1.0,AFF Championship,Jakarta,Indonesia,False
45797,2022-12-24,Singapore,Myanmar,3.0,2.0,AFF Championship,Singapore,Singapore,False
45798,2022-12-24,Malaysia,Laos,5.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
45799,2022-12-26,Brunei,Indonesia,0.0,7.0,AFF Championship,Kuala Lumpur,Malaysia,True
45800,2022-12-26,Thailand,Philippines,4.0,0.0,AFF Championship,Pathum Thani,Thailand,False
45801,2022-12-27,Laos,Singapore,0.0,2.0,AFF Championship,Vientiane,Laos,False
45802,2022-12-27,Vietnam,Malaysia,3.0,0.0,AFF Championship,Hanoi,Vietnam,False
45803,2022-12-29,Cambodia,Brunei,5.0,1.0,AFF Championship,Phnom Penh,Cambodia,False
45804,2022-12-29,Indonesia,Thailand,1.0,1.0,AFF Championship,Jakarta,Indonesia,False
45805,2022-12-30,Iraq,Kuwait,1.0,0.0,Friendly,Basra,Iraq,False
45806,2022-12-30,Oman,Syria,1.0,0.0,Friendly,Dubai,United Arab Emirates,True
45807,2022-12-30,United Arab Emirates,Lebanon,1.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,False
45808,2022-12-30,Myanmar,Laos,2.0,2.0,AFF Championship,Yangon,Myanmar,False
45809,2022-12-30,Singapore,Vietnam,0.0,0.0,AFF Championship,Singapore,Singapore,False
45810,2023-01-02,Thailand,Cambodia,3.0,1.0,AFF Championship,Pathum Thani,Thailand,False
45811,2023-01-02,Philippines,Indonesia,1.0,2.0,AFF Championship,Manila,Philippines,False
45812,2023-01-03,Vietnam,Myanmar,3.0,0.0,AFF Championship,Hanoi,Vietnam,False
45813,2023-01-03,Malaysia,Singapore,4.0,1.0,AFF Championship,Kuala Lumpur,Malaysia,False
45814,2023-01-06,Iraq,Oman,0.0,0.0,Gulf Cup,Basra,Iraq,False
45815,2023-01-06,Yemen,Saudi Arabia,0.0,2.0,Gulf Cup,Basra,Iraq,True
45816,2023-01-06,Indonesia,Vietnam,0.0,0.0,AFF Championship,Jakarta,Indonesia,False
45817,2023-01-07,Bahrain,United Arab Emirates,2.0,1.0,Gulf Cup,Basra,Iraq,True
45818,2023-01-07,Kuwait,Qatar,0.0,2.0,Gulf Cup,Basra,Iraq,True
45819,2023-01-07,Malaysia,Thailand,1.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False
45820,2023-01-08,Iceland,Estonia,1.0,1.0,Friendly,Albufeira,Portugal,True
45821,2023-01-09,Sweden,Finland,2.0,0.0,Friendly,Faro-Loulé,Portugal,True
45822,2023-01-09,Oman,Yemen,3.0,2.0,Gulf Cup,Basra,Iraq,True
45823,2023-01-09,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Basra,Iraq,False
